formatted_date,EIS,PLTM,rank,portfolio_position,position_size,entry_sqrt_q_multiplier,exit_sqrt_q_multiplier,EIS_position,PLTM_position,cash,commission,short_interest,comments
2020-09-14,52.72999954,9.449999809,0,,0,1,0,0,0.0,10000,,,
2020-09-21,51.72999954,8.739999771,1,,0,1,0,0,0.0,10000,,,
2020-09-28,51.59999847,8.739999771,2,,0,1,0,0,0.0,10000,,,
2020-10-05,54.54000092,8.859000206000001,3,,0,1,0,0,0.0,10000,,,
2020-10-12,56.06999969,8.720000267,4,,0,1,0,0,0.0,10000,,,
2020-10-19,55.18999863,8.470000267,5,,0,1,0,0,0.0,10000,,,
2020-10-26,54.18000031,8.640000342999999,6,,0,1,0,0,0.0,10000,,,
2020-11-02,53.27000046,8.515000342999999,7,,0,1,0,0,0.0,10000,,,
2020-11-09,56.63000107,8.579999924,8,,0,1,0,0,0.0,10000,,,
2020-11-16,56.84000015,9.140000342999999,9,,0,1,0,0,0.0,10000,,,
2020-11-23,58.25,9.130000114,10,,0,1,0,0,0.0,10000,,,
2020-11-30,58.84999847,9.56000042,11,,0,1,0,0,0.0,10000,,,
2020-12-07,60.00999832,10.17000008,12,,0,1,0,0,0.0,10000,,,
2020-12-14,61.11000061,10.0,13,,0,1,0,0,0.0,10000,,,
2020-12-21,61.13999939,10.06000042,14,,0,1,0,0,0.0,10000,,,
2020-12-28,63.90999985,10.20499992,15,,0,1,0,0,0.0,10000,,,
2021-01-04,63.34000015,10.57999992,16,,0,1,0,0,0.0,10000,,,
2021-01-11,66.79000092,10.22000027,17,,0,1,0,0,0.0,10000,,,
2021-01-25,65.84999847,10.82999992,18,,0,1,0,0,0.0,10000,,,
2021-02-01,65.03,11.07,19,long,77,1,0,77,-447.38,1000000,-1.0,,
2021-02-08,66.39,11.54,20,long,77,1,0,77,-439.2,1000000,0.0,,
2021-02-22,67.05,12.6,21,long,77,1,0,77,-407.72,999407,0.0,0.0,
2021-03-01,65.71,11.72,22,,0,1,0,0,0.0,999695,-1.03,0.0,"No EIS available to short - otherwise, advised to short EIS long PLTM!"
2021-03-02,65.92,11.88,23,long,73,1,0,73,-401.23,999649,-1.0,0.0,
2021-03-10,64.7,11.87,24,long,73,1,0,73,-394.39,999538,0.0,0.0,
2021-03-16,65.87,11.96,25,short,73,1,0,-73,397.55,999682,-2.06,0.0,
2021-03-22,66.19,11.71,26,short,73,1,0,-73,407.82,999561,0.0,0.0,
2021-03-29,64.09,11.54,27,long,74,1,0,74,-406.86,999538,-2.0,0.0,
2021-04-06,66.88,12.22,28,long,74,1,0,74,-401.44,999472,0.0,0.0,
