formatted_date,time_frame,position_y,position_x,EWC_%_change,EWA_%_change,EWC_profit,EWA_profit,EWC,EWA,EWA_beta,const_beta,y_hat,e,q,sqrt_q,zScore,longsEntry,longsExit,shortsEntry,shortsExit
26/04/2006,0,0,0,-0.006835484,-0.005469953,0,0,18.72361946,11.17011547,1.435776779,0.005361467,16.04315388,2.680465586,0.011050117,0.105119536,,FALSE,FALSE,FALSE,FALSE
27/04/2006,1,0,0,0.006477789,0.005500038,0,0,18.59563446,11.10901546,1.508679737,0.011927982,16.77187451,1.823759951,0.016461794,0.128303523,,FALSE,FALSE,FALSE,FALSE
28/04/2006,2,0,0,0.004424505,0.009571137,0,0,18.71609306,11.17011547,1.568008509,0.017231311,17.53206742,1.184025646,0.019034524,0.137965664,,FALSE,FALSE,FALSE,FALSE
01/05/2006,3,0,0,0.010812863,-0.000902931,0,0,18.79890251,11.27702618,1.605168632,0.020503251,18.12203193,0.676870584,0.020210713,0.142164386,-1.057663733,FALSE,FALSE,FALSE,FALSE
02/05/2006,4,0,0,-0.007923626,0.001355663,0,0,19.00217247,11.2668438,1.635961244,0.023227186,18.45534698,0.546825494,0.020501692,0.143184121,-0.881273632,FALSE,FALSE,FALSE,FALSE
03/05/2006,5,0,0,-0.004393105,-0.002256521,0,0,18.85160637,11.28211784,1.648796485,0.024360436,18.62627668,0.225329688,0.020654336,0.143716166,-1.086161394,FALSE,FALSE,FALSE,FALSE
04/05/2006,6,0,0,0.01283575,0.013116405,0,0,18.76878929,11.25665951,1.655182944,0.024928716,18.65675954,0.112029753,0.020637696,0.14365826,-1.048454484,FALSE,FALSE,FALSE,FALSE
05/05/2006,7,0,0,-0.003960144,0.003125031,0,0,19.00970078,11.40430641,1.658957276,0.025250664,18.94450776,0.065193012,0.020973354,0.144821802,-0.79333667,FALSE,FALSE,FALSE,FALSE
08/05/2006,8,0,0,0.01232597,0.014686155,0,0,18.93441963,11.43994522,1.656557237,0.02504601,18.97597006,-0.041550429,0.020982956,0.144854948,-1.191316827,FALSE,FALSE,FALSE,FALSE
09/05/2006,9,0,0,0.000785516,-0.003947067,0,0,19.16780472,11.60795403,1.653554971,0.024802541,19.21919262,-0.051387905,0.021289669,0.145909799,-0.901243053,FALSE,FALSE,FALSE,FALSE
10/05/2006,10,0,0,-0.015306228,-0.000440374,0,0,19.18286133,11.56213665,1.65491567,0.02491769,19.15927881,0.023582522,0.021095903,0.145244288,0.445392058,FALSE,FALSE,FALSE,FALSE
11/05/2006,11,0,0,-0.016340947,-0.024669677,0,0,18.88924408,11.55704498,1.645894955,0.02414591,19.04582794,-0.156583859,0.021072859,0.145164936,-1.342446994,FALSE,FALSE,FALSE,FALSE
12/05/2006,12,0,0,-0.022690381,-0.023035358,0,0,18.58057594,11.27193642,1.646032246,0.024159278,18.5781301,0.002445844,0.020478492,0.143103082,0.595352202,FALSE,FALSE,FALSE,FALSE
